time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577837026.39993095,0.02409759,0.00573110,0.00000372,73547.00000000,0.02606313,0.000000,0.000000
1577837026.49976707,0.02411992,0.00521110,0.00000527,73625.00000000,0.03454577,0.000000,0.000000
1577837026.59959507,0.02411980,0.00411294,0.00000371,73663.00000000,0.02406607,0.000000,0.000000
1577837026.69943714,0.02411528,0.00426012,0.00000370,73766.00000000,0.02199510,0.000000,0.000000
1577837026.79966903,0.02411320,0.00506117,0.00000366,73809.00000000,0.02313567,0.000000,0.000000
1577837026.89950800,0.02410705,0.00472458,0.00000322,73880.00000000,0.02121153,0.000000,0.000000
1577837026.99935317,0.02411064,0.00600670,0.00000391,73931.00000000,0.02580312,0.000000,0.000000
1577837027.09999299,0.02410257,0.00457371,0.00000301,74008.00000000,0.02028377,0.000000,0.000000
1577837027.19983411,0.02411969,0.00528622,0.00000474,74113.00000000,0.03223775,0.000000,0.000000
1577837027.29966593,0.02412631,0.00518193,0.00000380,74123.00000000,0.02726985,0.000000,0.000000
1577837027.39950585,0.02412501,0.00548112,0.00000328,74113.00000000,0.02350518,0.000000,0.000000
1577837027.49934387,0.02412607,0.00511469,0.00000338,74151.00000000,0.02463193,0.000000,0.000000
1577837027.59998488,0.02412481,0.00457141,0.00000315,74173.00000000,0.02352119,0.000000,0.000000
1577837027.69982481,0.02413243,0.00523060,0.00000361,74269.00000000,0.02778530,0.000000,0.000000
1577837027.79967093,0.02414507,0.00574244,0.00000418,74404.00000000,0.03020933,0.000000,0.000000
1577837027.89950490,0.02415810,0.00596932,0.00000392,74184.00000000,0.03042896,0.000000,0.000000
1577837027.99935102,0.02416171,0.00518328,0.00000365,74130.00000000,0.02590171,0.000000,0.000000
1577837028.09998488,0.02416936,0.00523787,0.00000375,74211.00000000,0.02786173,0.000000,0.000000
1577837028.19980383,0.02419430,0.00536813,0.00000535,74303.00000000,0.03626743,0.000000,0.000000
1577837028.29963899,0.02420397,0.00458345,0.00000432,74357.00000000,0.02889080,0.000000,0.000000
1577837028.39948201,0.02423114,0.00605187,0.00000652,74416.00000000,0.03743588,0.000000,0.000000
1577837028.49933314,0.02425501,0.00554633,0.00000538,74472.00000000,0.03587957,0.000000,0.000000
1577837028.59996700,0.02425656,0.00530576,0.00000367,74494.00000000,0.02501607,0.000000,0.000000
1577837028.69981909,0.02426381,0.00432649,0.00000429,74529.00000000,0.02780783,0.000000,0.000000
1577837028.79965901,0.02426820,0.00513038,0.00000386,74544.00000000,0.02641778,0.000000,0.000000
1577837028.89949107,0.02427935,0.00515138,0.00000445,74484.00000000,0.02975460,0.000000,0.000000
1577837028.99935007,0.02428127,0.00468471,0.00000467,74535.00000000,0.02522629,0.000000,0.000000
1577837029.09997010,0.02429719,0.00501763,0.00000521,74567.00000000,0.03214751,0.000000,0.000000
1577837029.19980216,0.02428679,0.00386164,0.00000310,74569.00000000,0.01914699,0.000000,0.000000
1577837029.29963398,0.02428807,0.00457617,0.00000401,74598.00000000,0.02492076,0.000000,0.000000
1577837029.39948297,0.02430259,0.00505148,0.00000534,74645.00000000,0.03150736,0.000000,0.000000
1577837029.49933004,0.02429341,0.00456003,0.00000330,74680.00000000,0.01973120,0.000000,0.000000
1577837029.59998202,0.02428996,0.00438408,0.00000362,74698.00000000,0.02257199,0.000000,0.000000
1577837029.69982696,0.02428522,0.00449885,0.00000369,74683.00000000,0.02191715,0.000000,0.000000
1577837029.79965806,0.02428238,0.00482549,0.00000407,74715.00000000,0.02286263,0.000000,0.000000
